Sample Name, Sample-2
Time, April 01 12:01:44 2022
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 200.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
591.0, 1.5489, 2.83
592.0, 1.5563, 2.78
593.0, 1.5637, 2.73
594.0, 1.5622, 2.74
595.0, 1.5696, 2.69
596.0, 1.5712, 2.68
597.0, 1.5745, 2.66
598.0, 1.5697, 2.69
599.0, 1.5791, 2.64
600.0, 1.5838, 2.61
601.0, 1.5819, 2.62
602.0, 1.5922, 2.56
603.0, 1.5897, 2.57
604.0, 1.5851, 2.60
605.0, 1.5974, 2.53
606.0, 1.5999, 2.51
607.0, 1.6037, 2.49
608.0, 1.6062, 2.48
609.0, 1.6073, 2.47
610.0, 1.6112, 2.45
611.0, 1.6082, 2.47
612.0, 1.6217, 2.39
613.0, 1.6188, 2.41
614.0, 1.6215, 2.39
615.0, 1.6237, 2.38
616.0, 1.6334, 2.33
617.0, 1.6289, 2.35
618.0, 1.6331, 2.33
619.0, 1.6413, 2.28
620.0, 1.6379, 2.30
621.0, 1.6399, 2.29
622.0, 1.6445, 2.27
623.0, 1.6462, 2.26
624.0, 1.6468, 2.26
625.0, 1.6454, 2.26
626.0, 1.6567, 2.20
627.0, 1.6566, 2.21
628.0, 1.6677, 2.15
629.0, 1.6554, 2.21
630.0, 1.6611, 2.18
631.0, 1.6736, 2.12
632.0, 1.6697, 2.14
633.0, 1.6790, 2.09
634.0, 1.6732, 2.12
635.0, 1.6766, 2.11
636.0, 1.6722, 2.13
637.0, 1.6846, 2.07
638.0, 1.6870, 2.06
639.0, 1.6823, 2.08
640.0, 1.6968, 2.01
641.0, 1.6952, 2.02
642.0, 1.6973, 2.01
643.0, 1.7029, 1.98
644.0, 1.7025, 1.98
645.0, 1.6992, 2.00
646.0, 1.6998, 2.00
647.0, 1.7130, 1.94
648.0, 1.7145, 1.93
649.0, 1.7105, 1.95
650.0, 1.7056, 1.97
651.0, 1.7205, 1.90
652.0, 1.7195, 1.91
653.0, 1.7181, 1.91
654.0, 1.7316, 1.86
655.0, 1.7187, 1.91
656.0, 1.7239, 1.89
657.0, 1.7296, 1.86
658.0, 1.7336, 1.85
659.0, 1.7352, 1.84
660.0, 1.7399, 1.82
661.0, 1.7332, 1.85
662.0, 1.7377, 1.83
663.0, 1.7361, 1.84
664.0, 1.7362, 1.84
665.0, 1.7376, 1.83
666.0, 1.7425, 1.81
667.0, 1.7504, 1.78
668.0, 1.7475, 1.79
669.0, 1.7529, 1.77
670.0, 1.7458, 1.80
671.0, 1.7580, 1.75
672.0, 1.7564, 1.75
673.0, 1.7575, 1.75
674.0, 1.7607, 1.74
675.0, 1.7556, 1.76
676.0, 1.7543, 1.76
677.0, 1.7537, 1.76
678.0, 1.7721, 1.69
679.0, 1.7596, 1.74
680.0, 1.7735, 1.68
681.0, 1.7754, 1.68
682.0, 1.7693, 1.70
683.0, 1.7594, 1.74
684.0, 1.7801, 1.66
685.0, 1.7762, 1.67
686.0, 1.7724, 1.69
687.0, 1.7738, 1.68
688.0, 1.7714, 1.69
689.0, 1.7788, 1.66
690.0, 1.7726, 1.69
691.0, 1.7817, 1.65
692.0, 1.7881, 1.63
693.0, 1.7839, 1.64
694.0, 1.7795, 1.66
695.0, 1.7778, 1.67
696.0, 1.7875, 1.63
697.0, 1.7832, 1.65
698.0, 1.7801, 1.66
699.0, 1.7917, 1.62
700.0, 1.7817, 1.65
701.0, 1.7868, 1.63
702.0, 1.7908, 1.62
703.0, 1.7915, 1.62
704.0, 1.7900, 1.62
705.0, 1.7894, 1.62
706.0, 1.7911, 1.62
707.0, 1.7907, 1.62
708.0, 1.7951, 1.60
709.0, 1.7936, 1.61
710.0, 1.7943, 1.61
711.0, 1.7875, 1.63
712.0, 1.8026, 1.58
713.0, 1.7905, 1.62
714.0, 1.8188, 1.52
715.0, 1.7962, 1.60
716.0, 1.7906, 1.62
717.0, 1.7957, 1.60
718.0, 1.8012, 1.58
719.0, 1.8012, 1.58
720.0, 1.7990, 1.59
721.0, 1.7984, 1.59
722.0, 1.8012, 1.58
723.0, 1.7999, 1.59
724.0, 1.8013, 1.58
725.0, 1.8031, 1.57
726.0, 1.8013, 1.58
727.0, 1.8047, 1.57
728.0, 1.7998, 1.59
729.0, 1.8027, 1.57
730.0, 1.8024, 1.58
731.0, 1.8013, 1.58
732.0, 1.7984, 1.59
733.0, 1.7975, 1.59
734.0, 1.8041, 1.57
735.0, 1.8004, 1.58
736.0, 1.7982, 1.59
737.0, 1.8054, 1.57
738.0, 1.8032, 1.57
739.0, 1.8034, 1.57
740.0, 1.8001, 1.58
741.0, 1.8048, 1.57
742.0, 1.8051, 1.57
743.0, 1.8052, 1.57
744.0, 1.8036, 1.57
745.0, 1.8059, 1.56
746.0, 1.8010, 1.58
747.0, 1.8041, 1.57
748.0, 1.8040, 1.57
749.0, 1.8006, 1.58
750.0, 1.8056, 1.56
751.0, 1.7996, 1.59
752.0, 1.7972, 1.60
753.0, 1.8011, 1.58
754.0, 1.7981, 1.59
755.0, 1.7974, 1.59
756.0, 1.7950, 1.60
757.0, 1.7908, 1.62
758.0, 1.8013, 1.58
759.0, 1.7914, 1.62
760.0, 1.7990, 1.59
761.0, 1.7859, 1.64
762.0, 1.7986, 1.59
763.0, 1.7885, 1.63
764.0, 1.7952, 1.60
765.0, 1.7911, 1.62
766.0, 1.7793, 1.66
767.0, 1.7947, 1.60
768.0, 1.7804, 1.66
769.0, 1.7872, 1.63
770.0, 1.7793, 1.66
771.0, 1.7895, 1.62
772.0, 1.7808, 1.66
773.0, 1.7845, 1.64
774.0, 1.7796, 1.66
775.0, 1.7769, 1.67
776.0, 1.7796, 1.66
777.0, 1.7668, 1.71
778.0, 1.7806, 1.66
779.0, 1.7721, 1.69
780.0, 1.7758, 1.68
781.0, 1.7692, 1.70
782.0, 1.7711, 1.69
783.0, 1.7648, 1.72
784.0, 1.7668, 1.71
785.0, 1.7638, 1.72
786.0, 1.7604, 1.74
787.0, 1.7563, 1.75
788.0, 1.7540, 1.76
789.0, 1.7583, 1.74
790.0, 1.7484, 1.78
791.0, 1.7494, 1.78
792.0, 1.7463, 1.79
793.0, 1.7407, 1.82
794.0, 1.7467, 1.79
795.0, 1.7348, 1.84
796.0, 1.7370, 1.83
797.0, 1.7415, 1.81
798.0, 1.7329, 1.85
799.0, 1.7367, 1.83
800.0, 1.7254, 1.88
801.0, 1.7316, 1.86
802.0, 1.7255, 1.88
803.0, 1.7240, 1.89
804.0, 1.7141, 1.93
805.0, 1.7166, 1.92
806.0, 1.7063, 1.97
807.0, 1.7061, 1.97
808.0, 1.7056, 1.97
809.0, 1.7009, 1.99
810.0, 1.7099, 1.95
811.0, 1.7008, 1.99
812.0, 1.6933, 2.03
813.0, 1.7015, 1.99
814.0, 1.6932, 2.03
815.0, 1.6960, 2.01
816.0, 1.6858, 2.06
817.0, 1.6885, 2.05
818.0, 1.6832, 2.07
819.0, 1.6759, 2.11
820.0, 1.6780, 2.10
821.0, 1.6673, 2.15
822.0, 1.6692, 2.14
823.0, 1.6625, 2.18
824.0, 1.6617, 2.18
825.0, 1.6629, 2.17
826.0, 1.6663, 2.16
827.0, 1.6548, 2.21
828.0, 1.6643, 2.17
829.0, 1.6469, 2.25
830.0, 1.6459, 2.26
831.0, 1.6469, 2.26
832.0, 1.6400, 2.29
833.0, 1.6445, 2.27
834.0, 1.6295, 2.35
835.0, 1.6369, 2.31
836.0, 1.6396, 2.29
837.0, 1.6303, 2.34
838.0, 1.6302, 2.34
839.0, 1.6252, 2.37
840.0, 1.6253, 2.37
841.0, 1.6170, 2.42
842.0, 1.6155, 2.42
843.0, 1.6187, 2.41
844.0, 1.6081, 2.47
845.0, 1.6137, 2.43
846.0, 1.5989, 2.52
847.0, 1.5960, 2.54
848.0, 1.5998, 2.51
849.0, 1.5914, 2.56
850.0, 1.5946, 2.54
851.0, 1.5963, 2.53
852.0, 1.5958, 2.54
853.0, 1.6005, 2.51
854.0, 1.5934, 2.55
855.0, 1.5936, 2.55
856.0, 1.5872, 2.59
857.0, 1.5844, 2.60
858.0, 1.5804, 2.63
859.0, 1.5716, 2.68
860.0, 1.5804, 2.63
861.0, 1.5763, 2.65
862.0, 1.5687, 2.70
863.0, 1.5747, 2.66
864.0, 1.5742, 2.67
865.0, 1.5666, 2.71
866.0, 1.5633, 2.73
867.0, 1.5603, 2.75
868.0, 1.5624, 2.74
869.0, 1.5531, 2.80
870.0, 1.5577, 2.77
871.0, 1.5486, 2.83
872.0, 1.5503, 2.82
873.0, 1.5454, 2.85
874.0, 1.5451, 2.85
875.0, 1.5398, 2.89
876.0, 1.5368, 2.91
877.0, 1.5362, 2.91
878.0, 1.5364, 2.91
879.0, 1.5359, 2.91
880.0, 1.5337, 2.93
881.0, 1.5301, 2.95
882.0, 1.5254, 2.98
883.0, 1.5240, 2.99
884.0, 1.5210, 3.01
885.0, 1.5214, 3.01
886.0, 1.5152, 3.05
887.0, 1.5187, 3.03
888.0, 1.5102, 3.09
889.0, 1.5132, 3.07
890.0, 1.5070, 3.11
891.0, 1.5043, 3.13
892.0, 1.5064, 3.12
893.0, 1.4977, 3.18
894.0, 1.5017, 3.15
895.0, 1.4998, 3.16
896.0, 1.4955, 3.20
897.0, 1.4914, 3.23
898.0, 1.4938, 3.21
899.0, 1.4911, 3.23
900.0, 1.4882, 3.25
901.0, 1.4914, 3.23
902.0, 1.4824, 3.29
903.0, 1.4875, 3.25
904.0, 1.4829, 3.29
905.0, 1.4807, 3.31
906.0, 1.4737, 3.36
907.0, 1.4784, 3.32
