WL(nm);Abs;T%
856.0;1.2372;5.79
857.0;1.2358;5.81
858.0;1.2323;5.86
859.0;1.2292;5.9
860.0;1.2252;5.95
861.0;1.2227;5.99
862.0;1.2218;6.0
863.0;1.217;6.07
864.0;1.2152;6.09
865.0;1.2133;6.12
866.0;1.2091;6.18
867.0;1.2055;6.23
868.0;1.2003;6.31
869.0;1.2006;6.3
870.0;1.1972;6.35
871.0;1.1969;6.35
872.0;1.1915;6.43
873.0;1.1882;6.48
874.0;1.1868;6.5
875.0;1.1823;6.57
876.0;1.179;6.62
877.0;1.1777;6.64
878.0;1.1758;6.67
879.0;1.1729;6.72
880.0;1.1697;6.76
881.0;1.1679;6.79
882.0;1.1646;6.85
883.0;1.1615;6.9
884.0;1.1602;6.91
885.0;1.1578;6.95
886.0;1.1546;7.0
887.0;1.1532;7.03
888.0;1.1502;7.08
889.0;1.1455;7.15
890.0;1.1446;7.17
891.0;1.1412;7.22
892.0;1.1408;7.23
893.0;1.1387;7.27
894.0;1.1381;7.28
895.0;1.1343;7.34
896.0;1.1319;7.38
897.0;1.1278;7.45
898.0;1.1272;7.46
899.0;1.1246;7.51
900.0;1.1222;7.55
901.0;1.1215;7.56
902.0;1.1195;7.6
903.0;1.1159;7.66
904.0;1.1138;7.69
905.0;1.1137;7.7
906.0;1.1117;7.73
907.0;1.1071;7.81
908.0;1.105;7.85
909.0;1.1036;7.88
910.0;1.1016;7.91
911.0;1.0988;7.96
912.0;1.0987;7.97
913.0;1.0962;8.01
914.0;1.0939;8.06
915.0;1.092;8.09
916.0;1.0895;8.14
917.0;1.0867;8.19
918.0;1.086;8.2
919.0;1.0845;8.23
920.0;1.0827;8.27
921.0;1.0804;8.31
922.0;1.0796;8.33
923.0;1.0762;8.39
924.0;1.0743;8.43
925.0;1.0736;8.44
926.0;1.0709;8.49
927.0;1.0698;8.52
928.0;1.0683;8.54
929.0;1.0648;8.61
930.0;1.0628;8.65
931.0;1.0607;8.7
932.0;1.0594;8.72
933.0;1.0569;8.77
934.0;1.0577;8.76
935.0;1.0554;8.8
936.0;1.0506;8.9
937.0;1.0525;8.86
938.0;1.0502;8.91
939.0;1.0482;8.95
940.0;1.0465;8.98
941.0;1.0436;9.05
942.0;1.0435;9.05
943.0;1.0415;9.09
944.0;1.0401;9.12
945.0;1.0379;9.17
946.0;1.0361;9.2
947.0;1.0334;9.26
948.0;1.0329;9.27
